,ID,Name,ABV,Style,Is Retired
38,a1DUfG,Cool Breeze,4.9,Belgian And French Origin Ales,N
39,4U8cc8,High Sierra FestivAle,5.2,North American Origin Ales,N
40,FfmdpM,Juicy Wolf,4.8,North American Origin Ales,N
41,YcAgdR,Warrior Bomb,5,North American Origin Ales,N
42,TxVKov,Trip in the Woods: Barrel Aged Ginger Bigfoot,11.4,North American Origin Ales,N
43,PsFAwd,Full Circle,4.9,German Origin Ales,N
44,a29mU4,Little Birdy,6.9,North American Origin Ales,N
45,bztkAM,Rhizing Bines,8,North American Origin Ales,Y
46,1yMrDb,Pils,6.2,European-germanic Lager,N
47,l5VbnF,Sweetwater Dank Tank Big Ol' Belgian Blue Balls,9,Hybrid/mixed Beer,N
48,kusLBU,Existential,11.1,North American Origin Ales,N
50,lPKfmK,Trip In The Woods Barrel Aged Narwhal w/Red & Black Currents,9.8,North American Origin Ales,N
51,kZ5YoL,VT Haze,4.1,North American Origin Ales,N
52,FNByFy,Knightro,4.6,Irish Origin Ales,N
54,i1jKN5,Spring Heat Spiced Wheat,5.2,Belgian And French Origin Ales,Y
55,dTCluj,Fusion 40,8.5,North American Origin Ales,N
56,YXPOTZ,Bamberg Helles,5.2,European-germanic Lager,N
57,cXEnHS,Tequila Barrel-Aged Ophelia,6.6,Hybrid/mixed Beer,N
58,8PsCAg,Bigfoot,9.6,North American Origin Ales,N
59,rRe2jl,Whole Lotta Lov,5.4,British Origin Ales,N
60,t9aucT,Bud Light Chelada,4.2,North American Lager,N
61,9HcWSd,Bigfoot,9.6,North American Origin Ales,N
62,AI17Hf,Fumble Brewski,4.5,North American Lager,N
63,zrqusY,Audition - Dark Ale,8.5,North American Origin Ales,N
64,XDaNfi,Little Wolf,4.7,North American Origin Ales,N
65,QdPbTF,Born Yesterday,7.5,North American Origin Ales,N
66,Ontrer,Chardonnay Barrel G'Knight,8.7,North American Origin Ales,N
67,pkEofb,Black Cat Porter,5.2,British Origin Ales,N
68,KY5gtZ,Celebration Ale,6.8,North American Origin Ales,N
69,eBelPz,Stone Mill Organic Pale Ale,5.5,North American Origin Ales,N
70,CScss3,Yonder Bock - Beer Camp Across America,7.7,European-germanic Lager,N
72,8pAabO,CitruSinensis,7.9,North American Origin Ales,N
73,6AcqY6,Agave Wheat,5.9,Hybrid/mixed Beer,N
74,ZSCpkz,Harvest Wet Hop IPA - Northern Hemisphere Harvest,6.7,North American Origin Ales,N
76,OAko81,R. Prime,6.2,North American Origin Ales,N
77,SItgWZ,Lupu Lava Tropical IPA,6.8,North American Origin Ales,N
78,Lx7DEm,Ovila Abbey Trippel,8.8,Belgian And French Origin Ales,N
79,0tWTUV,Tmavé,5.4,European-germanic Lager,N
80,0s57EN,Hash Brown,6.2,North American Origin Ales,N
81,7z8RTq,3 Weight,4,North American Origin Ales,N
82,JaS6T7,Torpedo Extra IPA,7.2,North American Origin Ales,N
83,xXJuyA,Southern Hemisphere Harvest,6.7,North American Origin Ales,N
84,KcLuc7,Johnny Berliner,4,German Origin Ales,N
85,NoNhan,420 Extra Pale Ale,5.4,North American Origin Ales,N
86,9Qr0BU,Narwhal Tawny Port Barrel Aged,11.4,North American Origin Ales,N
87,GwYXdk,Brux,8.3,Hybrid/mixed Beer,N
88,g7a7Uo,Four Hopsmen - HBC 472,5.2,North American Origin Ales,N
89,Qgkp3b,The Pit & The Pendulum,8.3,Hybrid/mixed Beer,N
90,x3B5d8,Trip in the Woods NARWHAL,9.8,Hybrid/mixed Beer,N
91,CLsadV,Sans Souci,5.9,Belgian And French Origin Ales,N
92,2CRlqm,Bigfoot,9.6,North American Origin Ales,N
93,FnRwC6,Take Two Pils,5.5,European-germanic Lager,N
94,QFJ250,Blantons Barrel Aged Scotch Ale,11.3,British Origin Ales,N
95,3PGxCQ,Cuvée Jeune Homme,6.5,Hybrid/mixed Beer,N
96,rjJiAx,White IPA - Asheville Beer Week,5.5,North American Origin Ales,Y
97,5ErplG,Tater Ridge - Beer Camp Across America,7,British Origin Ales,N
98,guH320,Chaka,8,Belgian And French Origin Ales,N
99,7bnlRC,Rye Cocoa Porter - ScareCity #2,10.2,North American Origin Ales,N
100,tZkS7X,Censored Imperial Stout,9.9,North American Origin Ales,N
101,InYD5U,Wild Blue Blueberry Lager,8,Belgian And French Origin Ales,N
102,Bk34Go,Vanilla Porter,5.4,British Origin Ales,N
103,IzBcZt,Scotch-Style Ale,7.3,British Origin Ales,N
104,epip51,Long Steam IPA,5.8,North American Origin Ales,N
105,G2Vi1J,Budweiser Select,4.3,North American Lager,N
106,YaI6zp,Fresh Hop - Mountain Series,6.2,North American Origin Ales,N
107,JsJS48,There and Back - Beer Camp Across America,5.6,British Origin Ales,N
108,XlDXNh,River Ryed Rye IPA,6,Hybrid/mixed Beer,N
109,K6s9S1,Smoke on The Water,7,Hybrid/mixed Beer,N
110,cByN2F,Otra Vez Gose With Lime & Agave,4.9,British Origin Ales,N
112,4sdq0d,Bigfoot,9.6,North American Origin Ales,N
113,GIO3Xe,Red-oric - Beer Camp #65 (Best Of Beer Camp: Imperial Red Ale),8,North American Origin Ales,N
114,peyS4P,Harvest Single Hop IPA - Equinox Hops,6.5,North American Origin Ales,N
115,S3xcp2,Gr8ful Anniversary Ale,5.2,Hybrid/mixed Beer,N
116,iNpc02,Maple Scotch-Style Ale,7.3,British Origin Ales,N
117,MTLa3r,Afternooner,4.6,Belgian And French Origin Ales,N
118,CEVOre,Mai-nd-Bockling,6,European-germanic Lager,N
119,AQE3Sx,Summer Session,5,Hybrid/mixed Beer,N
120,X8qNCS,Belgian-Style Blonde IPA,7.5,Belgian And French Origin Ales,N
121,xMjKhw,Wintertide Ale,6,Hybrid/mixed Beer,N
122,JR5uca,White Lightning ,6.5,North American Origin Ales,N
123,CU1fkx,Harvest Newly Developed Hop IPA (2015),6.5,North American Origin Ales,N
124,QJZFnY,The Pit & The Pendulum with Cherries,6.1,Hybrid/mixed Beer,N
125,YEIMmF,Harvest Brewers Select IPA,6.6,North American Origin Ales,N
126,Ydp0k0,Barrel-Aged Ten Fidy,12.9,North American Origin Ales,N
127,IyyejS,Anubis Imperial Coffee Porter,8,British Origin Ales,N
128,3neLUw,Hoppy Amber Ale - Mountain Series,6.4,North American Origin Ales,N
130,lAM2hZ,Unibrown,7.1,North American Origin Ales,N
131,FDpmPR,Crank Tank Rye'd Ale,6.2,Hybrid/mixed Beer,N
132,gVuwQ6,Shameless McDale,4.8,Irish Origin Ales,N
134,s5V8YM,Obliterator,10.5,European-germanic Lager,N
135,eueVi6,Beer Camp: Dunkle Weisse,5.7,German Origin Ales,N
136,GnPJde,Holidale (2016),10.3,Hybrid/mixed Beer,N
137,iYbsQ5,Fohn,4.7,European-germanic Lager,N
138,NZ5gEX,Sour Cherry Ten FIDY,10,Hybrid/mixed Beer,N
139,OIKxkJ,Kill Ugly Radio,7.8,North American Origin Ales,N
140,FtZRre,Sidcar Orange IPA,6.8,North American Origin Ales,N
141,qxNOIk,Milk Stout,5.8,British Origin Ales,N
143,pTHBWA,Beer Camp Hoppy Lager,7,North American Lager,N
144,J2UGn1,Baltic Anomaly,8.5,Other Lager,N
145,VdK5qM,Rye Way 117,7.4,Hybrid/mixed Beer,N
146,5pJqvf,Willett Bourbon Barrel Aged Imperial Stout,11.5,North American Origin Ales,N
148,EkVPnE,Nitro Orange Cream Ale,5.5,Hybrid/mixed Beer,N
149,00CxqR,Nut Brown Ale,5.2,North American Origin Ales,N
150,Cn8hSH,Fusion 23,7,North American Origin Ales,N
151,7zuKpR,Philly Tripel Plan B,8,Belgian And French Origin Ales,N
152,FMWVLR,Puget Brown Porter,5.6,British Origin Ales,N
153,zD2FYX,Hefeweizen,4,German Origin Ales,N
154,Yuzbjs,Irish Wheat,5.3,Hybrid/mixed Beer,N
155,RDEj6L,Devil Dog Imperial IPA,10.8,North American Origin Ales,N
156,bHDV83,Dirty Blonde Ale,4.5,North American Origin Ales,N
159,cPLFNf,Tropical Lover,4.3,North American Origin Ales,N
160,AVcFA8,Imperial Pecan Porter,9,North American Origin Ales,N
161,iJ329Y,19 - Golden Belgian Style Ale,7,Hybrid/mixed Beer,N
162,bnURKM,Paleooza,4.4,North American Origin Ales,N
163,2VR5QQ,Hop And Sour,4.4,North American Origin Ales,N
164,BUVVgt,Tropical Mama’s,5.3,North American Lager,N
165,Pwu2fR,Oktoberfest,6,North American Lager,Y
166,ABoSrf,The Waldos’ Special Ale (2018),11.3,North American Origin Ales,N
168,E5i29p,Mandarina Bavaria,4.9,European-germanic Lager,N
169,44mN7a,Ten FIDY,10.5,North American Origin Ales,N
170,l7irOy,Weizenbock - Beer Camp #37,6.8,German Origin Ales,N
171,KfC3l9,Spanglish Fly,8,Belgian And French Origin Ales,N
172,G5Uxww,Single Hop El Dorado Session IPA,4.6,North American Origin Ales,N
173,2FgZ04,Mountain Series: Salted Caramel Brown,6.5,North American Origin Ales,N
174,ULacWY,Fils à Papa IV,6.5,Hybrid/mixed Beer,N
175,hImGQV,Braupakt,6,German Origin Ales,N
176,HO9ROw,Ovila Abbey White,5.3,Belgian And French Origin Ales,N
177,8ugUQF,Audition - Belgian-Style Pale Ale,5.3,Belgian And French Origin Ales,N
179,Me6YnI,Wheat Wine,11.5,North American Origin Ales,N
180,OFYff7,Envious,7.5,Hybrid/mixed Beer,N
181,14UQ4N,Snowman Stout,5.2,North American Origin Ales,N
183,30zzKy,Busch Light,4.1,North American Lager,N
184,esFZwY,G'Knight Imperial Red IPA,8.7,Hybrid/mixed Beer,N
187,CwbQiB,Grand Royal,8.3,North American Origin Ales,N
188,ZK2Swv,Beer Camp: Atlantic-Style Vintage Ale,8.5,British Origin Ales,N
189,lsUdvK,Simmer Down Brown,7,North American Origin Ales,N
190,dlm9nV,Single Hop Citra IPL,5.5,North American Lager,N
191,DQW0WA,Belgian Crush,5.7,Belgian And French Origin Ales,N
192,tGCD2j,New Holland Brewing 20th Anniversary Ale,20,British Origin Ales,N
194,dqKU6w,Single Hop Cascade IPA,6.3,North American Origin Ales,N
195,XeZfaD,T.L.A. I.P.A.,5.7,North American Origin Ales,N
196,4nRKTH,DevESTATEtion,6.7,North American Origin Ales,N
198,HIwvra,Barrel-Aged Bigfoot (Whiskey Barrels),11.9,North American Origin Ales,N
200,aWUHyv,Mozango (Fusion XXXI),9,North American Origin Ales,N
201,EzaTJ3,Runway IPA,6.2,International Ale Styles,N
202,E6kkPh,Black Mad Hatter India Pale Ale,5.56,North American Origin Ales,N
203,3WxXFm,India Pale Ale IPA,6.4,North American Origin Ales,N
204,fekpJv,Blackstrap Fever,6.1,British Origin Ales,N
205,276GV8,Funkytown,6,Hybrid/mixed Beer,N
206,qQTYZ8,Ichabod Pumpkin Ale,5.2,Hybrid/mixed Beer,N
207,WHQisc,Dragon's Milk,11,North American Origin Ales,N
208,CU2xRZ,G'Knight (Breckenridge Whiskey Barrel Aged),8.7,North American Origin Ales,N
209,R5Y92z,Ma Mère Spéciale,6,Belgian And French Origin Ales,N
210,KuflHE,Tropical Torpedo,6.7,North American Origin Ales,N
211,SPbPNt,Beer Camp: Thai-Style Iced Tea,7.2,Hybrid/mixed Beer,N
212,HaN457,Rustiek-Barrel Aged Belgian Amber Ale,9.4,North American Origin Ales,N
213,nAr0mR,Belgian Blond,6.7,Belgian And French Origin Ales,N
214,lrTDM4,Torikumi,7.5,North American Origin Ales,N
215,JUjEnp,Miller Chill,4.1,North American Lager,N
216,6fJQfz,Fils À Papa V,8.5,Belgian And French Origin Ales,N
218,zfP2fK,12th Of Never,5.5,North American Origin Ales,N
219,kvklwS,Bayside Black IPA,7.1,North American Origin Ales,N
220,ueYGTP,Budweiser 1933 Repeal Reserve,6.1,North American Lager,N
221,QtA7tb,Betsy's Revenge,4.5,Hybrid/mixed Beer,N
223,Rxu5Bd,Bing Bing,6.8,North American Origin Ales,N
228,8lo5KQ,Dragon's Milk Reserve: Mexican Spice Cake,11,North American Origin Ales,N
229,voS2xG,Miller High Life,5,North American Lager,N
230,DNAmvo,LowRYEder IPA,6.2,Hybrid/mixed Beer,N
231,DmCMSF,London Calling English Porter Cask,5.3,North American Origin Ales,N
233,8qafAu,Golden Ale,4.5,North American Origin Ales,N
234,kuAItj,Trademark Pale Ale,5.7,North American Origin Ales,N
235,I1L4J0,Quinn's Amber Ale,4.8,North American Origin Ales,N
236,jNqqVQ,Jenny Scream Ale,5.3,Hybrid/mixed Beer,N
237,J9xszw,Guinness Foreign Extra,7.5,Irish Origin Ales,N
239,1XAbSf,Foam Pilsner,5.6,North American Lager,N
240,avUZok,Ground Score,7.1,North American Origin Ales,N
242,StkEiv,Guinness Draught,4.3,Irish Origin Ales,N
243,UZD25d,Otra Vez,4.5,British Origin Ales,N
244,wRkDGh,Barrel Aged 471 IPA. Aggressive Hoppiness,9.2,North American Origin Ales,N
246,UuyWmA,Ovila Wood-Aged Saison,7.8,Belgian And French Origin Ales,N
249,babLje,Sucks,8,North American Origin Ales,N
250,8ftXVJ,Six Grain Harvest Lager (Batch No. 63118),5.5,North American Lager,N
251,qqOqX9,Chernigivske White,5,Hybrid/mixed Beer,N
253,HiunCp,Gingerbread Old Chub,8,British Origin Ales,N
254,1EDyEY,Smaug's Breath,11,British Origin Ales,N
255,MDLWPq,De Achste Hond Peach Sour,7,North American Origin Ales,N
256,kVKPX7,Hop Harmony,6.7,North American Origin Ales,N
258,0T4pOY,Bigfoot Barrel-Aged,12.2,North American Origin Ales,N
260,ZJJ8yY,Dragon's Milk Reserve: Cherry Chocolate,11,North American Origin Ales,N
261,ZYOCUN,Mixxtail Firewalker,8,Malternative Beverages,N
263,1cLpJP,Beerito,4,European-germanic Lager,N
264,2yXCVa,Sumpin' Easy Ale,5.7,North American Origin Ales,N
266,bM2eLl,Red Between the Lines,6.2,North American Origin Ales,N
268,zc3p4y,Dank Tank: Smokey and the Brett,7.3,North American Origin Ales,N
270,Tw2gsB,Sour Pineapple,6.1,North American Origin Ales,N
271,dODEDo,Spruce Beersteen,6,North American Origin Ales,N
274,TmGZKm,Two Hats Pineapple,4.2,North American Lager,N
275,GboTWT,Censored Rich Copper Ale,6.75,North American Origin Ales,N
276,lEPIZg,Audition - Pale Ale,6.5,North American Origin Ales,N
278,coUX1m,Gubna,10,North American Origin Ales,N
279,n6p2aw,O'Doul's,0.5,Hybrid/mixed Beer,N
280,PB49EI,Sun Dog Amber Wheat,5.3,Hybrid/mixed Beer,N
281,dNnIWw,Kate The Great Russian Imperial Stout,9.5,North American Origin Ales,N
285,8rc5kA,Wachusetts IPA,5.6,North American Origin Ales,N
286,JzR6cK,Bavarian-Styled Doppel Weizen,9,German Origin Ales,N
287,OXcz6Z,Nice Things IPA,6.4,North American Origin Ales,N
288,0NyrGZ,Through the Brambles,6.3,Hybrid/mixed Beer,N
289,R1JD13,The Mutilator,7,European-germanic Lager,N
290,t787n5,Holidale (2017),8.8,Hybrid/mixed Beer,N
293,NJL9oB,Noble Helles (Batch No. 32218),5,European-germanic Lager,N
296,mrLL4r,Jack's Pumpkin Spice Ale,5.5,Hybrid/mixed Beer,N
297,bQk5Rn,Budweiser Freedom Reserve,5.4,North American Lager,N
298,JOxnlJ,Hop Dog Harvest Pale Ale,6.2,North American Origin Ales,N
300,htbWwF,Imperial Red Ale,7.8,North American Origin Ales,N
301,qGDeH1,2 x 4,8.7,Belgian And French Origin Ales,N
302,YZXVKq,25th Anniversary,9.8,North American Origin Ales,N
303,WHKIRY,Cherry Hotside Sour,4.8,Hybrid/mixed Beer,N
304,yagN3u,Miller64,2.8,North American Lager,N
305,wJ9ull,Gravenstime,4.6,North American Origin Ales,N
306,nvfMg1,Avalanche Ale,4.4,North American Origin Ales,N
308,si7pxG,IPA,5.6,North American Origin Ales,N
309,fDmp62,Crye Me A River,5.6,Hybrid/mixed Beer,N
310,kzMoR5,Wild Thang,5,North American Origin Ales,N
312,VgbSMs,Selkie,4.9,Irish Origin Ales,N
315,4A41PO,Barrel-Aged Torpedo Extra IPA,8.5,North American Origin Ales,N
316,JK8eXb,Trip In the Woods: Cocoa Coconut Narwhal,11.8,North American Origin Ales,N
317,NgU9h0,Black Shack Porter,5.3,British Origin Ales,N
318,4eYvNS,TuberFest,7.5,North American Lager,N
320,etD9Ry,Mungo Berry,4.8,North American Origin Ales,N
321,ct0Hxz,Charkoota Rye,9.35,European-germanic Lager,N
322,L6Lk8r,Plum Jasmine Gose,9.6,North American Origin Ales,N
323,SZbmSL,WTFarmhouse,8.41,Hybrid/mixed Beer,N
324,1FBXjy,Fresh Hop IPA,6.4,North American Origin Ales,N
326,ctjbwM,SweetWater Festive Ale,8.5,Hybrid/mixed Beer,N
327,ePh6fw,Flipside Red IPA,6.2,North American Origin Ales,N
331,FK6HtH,Harvest Single Hop Yakima #291,6.5,North American Origin Ales,N
332,Hh3VFp,Cinnister Stout,5,North American Origin Ales,N
333,zhzeah,Cherry Jane,5.5,North American Origin Ales,N
334,2wvRmF,Dragon's Milk Reserve with Toasted Chilies,11,North American Origin Ales,N
335,meCiGU,Imperial Red Ale - Beer Camp #65,8.1,North American Origin Ales,N
336,BceaoL,Hummer,5.1,Belgian And French Origin Ales,N
337,YWt2Ld,Moving To the Country,5,North American Origin Ales,N
339,AdHXWs,Imperial Pils,8.6,North American Lager,N
340,ATFslo,Sweet Sunny South,4.9,Belgian And French Origin Ales,N
342,gVynTw,India Pale Ale,6.8,North American Origin Ales,N
343,RXEBYd,Dragon's Milk Reserve Vanilla Chai,11,North American Origin Ales,N
345,GNtxMV,Fusion 39,5.5,North American Origin Ales,N
348,mUt5nB,G'Afternoon,6,North American Origin Ales,N
349,PSRi4b,Electric Ray,8.5,North American Origin Ales,N
350,ttJysx,Filthy Pumpkin,7.75,North American Origin Ales,N
351,Bzl1Jw,Solar Coaster,6.1,Hybrid/mixed Beer,N
353,gkSM7N,Guinness Dublin Porter,3.8,Irish Origin Ales,N
355,7Yytym,Wilco Tango Foxtrot,7.8,North American Origin Ales,N
357,vpoGSw,Moxee-Moron,7.5,North American Origin Ales,N
358,KPu2Ot,Festival Bier,6,North American Lager,N
359,cvma3B,The Dogfather Imperial Stout - Bourbon Barrel,10.85,British Origin Ales,N
362,4GgbWG,Draught-Style Pale Ale,5,North American Origin Ales,N
364,yxUgyc,Black Cat Stout,5.5,North American Origin Ales,N
366,KJIjyd,Miller Lite,4.2,North American Lager,N
367,7dkC8e,Deviant Dale’s,8,North American Origin Ales,N
368,BlcFcv,Dank Tank Magnum IP,9,European-germanic Lager,Y
369,AC98pm,Earth Day EPA,5.2,British Origin Ales,N
372,RsTK7E,Dude of York,4.5,British Origin Ales,N
374,7SC2N0,Southern Hemisphere Session IPA,4.6,North American Origin Ales,N
375,17KZDP,Bella Czech Pils,5.3,International Styles,N
376,0K21pW,Porter,5.6,British Origin Ales,N
379,LR5oG8,Dank Tank BSP Quad,11,Belgian And French Origin Ales,Y
380,FbD1pJ,Taz IPA,6,North American Origin Ales,N
381,4fKoj3,Black Crown,6,North American Lager,N
382,oqsjeJ,Steady As She Gose,5.7,German Origin Ales,N
384,lDDTXD,Ryeday the 13th,5.5,Hybrid/mixed Beer,N
385,xlOpbL,The Hairy Eyeball,8.8,North American Origin Ales,N
386,8Ug3hm,Oxford Education,7.3,British Origin Ales,N
387,nPSHXY,Green Monsta IPA,7.3,North American Origin Ales,N
390,D4I0lX,Stone Cold Peach,5.6,Belgian And French Origin Ales,N
391,IDxKzR,High West-ified Imperial Coffee Stout,12.2,North American Origin Ales,N
393,x21pxt,XMas Chub,8,Hybrid/mixed Beer,N
395,R7UZkR,Wango Mango,6,Hybrid/mixed Beer,N
398,Hb6O3U,Happy Ending,9,North American Origin Ales,N
400,35wxef,Extra Stout,5.3,Irish Origin Ales,N
401,WaxgGo,Audition - Pilsner,5.2,North American Lager,N
402,UmJ5Wm,Pecan Porter,8,British Origin Ales,N
406,Y9X4cN,Pat-Rye-Ot,5.6,North American Origin Ales,N
407,yORSh7,Bourbon Barrel Aged Imperial Stout,11.2,North American Origin Ales,N
408,e4in1c,Kaliber,0.5,Hybrid/mixed Beer,N
409,bp7TkJ,HotSide Sour Mashed DayTime,4.65,Hybrid/mixed Beer,N
414,fa0oqf,471 ESB - Extra Special Bitter,7.8,British Origin Ales,Y
415,BKi6Ss,Yadig? Berliner Hopfenweissen,4.3,North American Origin Ales,N
416,Il48ZU,United in Orange,5.3,North American Origin Ales,N
419,MFgb7Y,Javanilla Ten FIDY,10.5,North American Origin Ales,N
420,8MMa77,Bud Dry,5,North American Lager,N
421,42fXwv,Oktoberfest,5.3,North American Lager,N
422,MzoCPz,Bud Light Lime,4.2,North American Lager,N
423,4CC8Gf,Winter Haze,8.5,North American Origin Ales,N
425,bqKaTO,Cran-Ber-Rita,8,Malternative Beverages,N
426,J183HL,London Calling,3.2,British Origin Ales,N
427,NaTBQp,Juicy Dust,6.2,North American Origin Ales,N
428,eIZS7k,Harvest Ale,6.5,North American Origin Ales,Y
429,LDo4fA,Puff The Magic Cyser,8.5,"Mead, Cider, & Perry",N
431,N0usi0,Trip in the Woods Madeira Quad,10.5,Belgian And French Origin Ales,N
432,hlynwj,Budweiser American Ale,5.1,North American Origin Ales,N
433,xZCUbm,Revered Red,5.4,North American Origin Ales,N
434,P3fflp,Bubbly Wit,7.1,Belgian And French Origin Ales,N
435,4neIJi,Saison Dans La Maison ,5.6,Belgian And French Origin Ales,N
436,IAP9Ye,Huckleberry Cream Ale,5.5,Hybrid/mixed Beer,N
440,kLnpDN,Bad Luck Blonde,6.5,North American Origin Ales,N
444,GCDyUs,Silent Night,11,Belgian And French Origin Ales,Y
445,xjSOtt,Barrel-Aged Porter,7.4,Hybrid/mixed Beer,N
446,ep9tZr,Trip In the Woods: Rye Dunkelweizen,9.6,German Origin Ales,N
447,DJcbV1,Bigfoot,9.6,North American Origin Ales,N
448,ZVmIsO,Golden Flash,5.7,British Origin Ales,N
449,P2rD30,Snow Glare,6,North American Origin Ales,N
450,zd3xxc,Centennial Hop Mountain Marzen (Batch No. 80524),5.9,North American Lager,N
451,8vbUYR,Session Rye,4.5,Hybrid/mixed Beer,N
454,jChDlj,Old Chico Crystal Wheat,4.8,North American Origin Ales,N
455,69tWZj,Dank Tank Ghoulash,8.5,North American Origin Ales,N
456,BdlH6M,Beer Camp: Campout Porter,7.7,British Origin Ales,N
457,ZDbYzs,Dragon's Milk Reserve Coconut Rum,11,North American Origin Ales,N
458,a8u4ic,Yvan The Great - Beer Camp Across America,6.3,Belgian And French Origin Ales,N
459,kQiE9q,Hop Peak,6.5,North American Origin Ales,N
460,JKdiyv,Hash Session IPA,4.2,North American Origin Ales,N
462,zpvlri,Christmas Chub,8,Hybrid/mixed Beer,N
463,KuiKeS,Breakfast At Chicos,7.5,North American Origin Ales,N
465,NQwb75,Puck American Pale Ale,5.2,North American Origin Ales,N
466,l4L4RO,Nitro Series: Chocolate Orange Stout,6,British Origin Ales,N
469,kZadFf,Black IPA,6.5,North American Origin Ales,N
472,FVFucy,Fresh Hop Double IPA,8,North American Origin Ales,N
474,AWdfjO,Priscilla,5.2,Belgian And French Origin Ales,N
476,dnUKxu,Chocolate Chili Stout - High Altitude Series,8.8,North American Origin Ales,N
477,3PXm6h,Nib Sip Chub,7,British Origin Ales,N
478,56HXGK,GUARD de BEER,7,Belgian And French Origin Ales,N
479,2ADEYR,Dale's Pale Ale Nitro,6.5,North American Origin Ales,N
481,Oklbuw,Leghorn Rye IPA,6,North American Origin Ales,N
482,t28a6A,Brandy Barrel-Aged Ten Fidy,10.5,North American Origin Ales,N
483,YH9nbt,Wally Junior,4.5,North American Origin Ales,N
484,z9eSax,EXPERIMENTAL HOP PILSNER,5.5,North American Lager,N
485,8M5lCq,30th Anniversary - Jack & Ken's Ale,10.2,North American Origin Ales,Y
486,htJQLM,Salted Grapefruit Farmhouse Ale,5.2,Belgian And French Origin Ales,N
487,Yzokxa,Harp Premium Imported Lager,4.5,North American Lager,N
488,BnYgKN,Dragon's Milk Reserve with Vanilla Chai,11,North American Origin Ales,N
489,FocTXx,Goofer Dust,6.1,North American Origin Ales,N
490,b6nCMj,Anniversary Ale,3.8,North American Origin Ales,N
491,qpfWYm,India Farmhouse Ale,7.4,Belgian And French Origin Ales,N
492,TMp47T,Michigan Hatter,4.8,North American Origin Ales,N
493,ZzpzSy,Tickled Pink,6.6,Belgian And French Origin Ales,N
494,24mTU2,Blizzicane Bock,7.7,European-germanic Lager,N
496,YUaX19,Holiday Ale (2011),7.6,Hybrid/mixed Beer,N
499,oC1Ux4,Imperial Stout (Fudge And Sickle),9.9,North American Origin Ales,N
501,4iQV5k,Dry Hopped Coastal Pilsner (Batch No. 23185),6,North American Lager,N
508,ygAzC9,Bigfoot,9.6,North American Origin Ales,N
512,NamZiK,Guinness 250th Anniversary Stout,5,North American Origin Ales,N
514,xw3Nti,Karaoke Fail,6.7,North American Origin Ales,N
515,0KEzfx,30th Anniversary - Fritz and Ken's Ale,9.2,North American Origin Ales,Y
516,Kktdjp,The Art Of Chaos,9,North American Origin Ales,N
517,Bs70do,Mixxtail Long Island Iced Tea,8,Malternative Beverages,N
518,5ue4ah,Summerfest,5,North American Lager,N
